	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
225513	GUT_GENOME225514	SRS1735683_14	HGM	MAG	5615839	621	15705	41.17	96.9	2.6	0.05	94.96	64.71	48.0	19		GUT_GENOME143505	MGYG-HGUT-02478	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	SRS1735683	SRP090628	Russia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes11/GUT_GENOME225514.gff.gz
76020	GUT_GENOME076021	ERS473064_39	HGM	MAG	1659455	72	37045	42.87	90.02	0.48	0.36	0.0	0.0	0.0	15		GUT_GENOME143712	MGYG-HGUT-02492	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	ERS473064	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02492/genomes15/GUT_GENOME076021.gff.gz
159447	GUT_GENOME159448	RaymondF_2016__P6C7__bin.92	CIBIO	MAG	3750557	68	112700	45.53	94.71	0.77	0.01	0.0	0.0	0.0	19		GUT_GENOME000192	MGYG-HGUT-00044	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	ERS634936	ERP009131	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00044/genomes2/GUT_GENOME159448.gff.gz
86238	GUT_GENOME086239	ERS537382_5	HGM	MAG	3125878	932	4260	31.45	87.89	3.3	0.34	0.0	0.0	0.0	19		GUT_GENOME096257	MGYG-HGUT-01400	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium ramosum	ERS537382	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-014/MGYG-HGUT-01400/genomes1/GUT_GENOME086239.gff.gz
127090	GUT_GENOME127091	LiuW_2016__SRR3992960__bin.20	CIBIO	MAG	1404689	406	3730	64.46	67.57	1.61	0.84	0.0	0.0	0.0	1		GUT_GENOME128145	MGYG-HGUT-02103	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	SRS1596773	SRP080787	Mongolia	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-021/MGYG-HGUT-02103/genomes1/GUT_GENOME127091.gff.gz
220898	GUT_GENOME220899	SRS1596812_53	HGM	MAG	2461036	435	6767	47.4	80.21	0.63	0.1	0.0	0.0	0.0	9		GUT_GENOME045186	MGYG-HGUT-00909	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	SRS1596812	SRP080787	Mongolia	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-009/MGYG-HGUT-00909/genomes1/GUT_GENOME220899.gff.gz
199478	GUT_GENOME199479	SRR5275483_bin.4	EBI	MAG	4099473	36	200417	46.66	77.24	0.0	0.05	0.0	0.0	0.0	18	ERZ843775	GUT_GENOME096083	MGYG-HGUT-01346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	SRS1994030	SRP100446	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01346/genomes2/GUT_GENOME199479.gff.gz
21795	GUT_GENOME021796	CosteaPI_2017__SID713A004-11-0-0__bin.18	CIBIO	MAG	2312578	68	58853	59.81	88.59	0.67	0.1	0.0	0.0	0.0	18		GUT_GENOME257298	MGYG-HGUT-04137	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA738;s__UBA738 sp003522945	ERS1444461	ERP019502	Kazakhstan	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-041/MGYG-HGUT-04137/genomes1/GUT_GENOME021796.gff.gz
103711	GUT_GENOME103712	IMG_2529292915	PATRIC/IMG	Isolate	4544018	24	219232	58.49	100.0	0.0		94.12	99.67	98.32	20	2529292915	GUT_GENOME103712	MGYG-HGUT-01691	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas veronii_A	SAMN02463949	PRJNA71515			ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-016/MGYG-HGUT-01691/genomes1/GUT_GENOME103712.gff.gz
103010	GUT_GENOME103011	HMP_2012__SRS053335__bin.19	CIBIO	MAG	2817625	99	49193	40.51	98.66	0.0	0.02	0.0	0.0	0.0	17		GUT_GENOME001241	MGYG-HGUT-00209	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	SRS053335	SRP002163	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00209/genomes3/GUT_GENOME103011.gff.gz
282473	GUT_GENOME282474	ZellerG_2014__CCIS12656533ST-4-0__bin.59	CIBIO	MAG	883550	32	42427	42.23	55.26	0.0	0.41	0.0	0.0	0.0	8		GUT_GENOME000149	MGYG-HGUT-00038	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena	ERS436730	ERP005534	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00038/genomes1/GUT_GENOME282474.gff.gz
8508	GUT_GENOME008509	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.97	CIBIO	MAG	1984740	229	12175	61.86	88.32	1.68	0.24	0.0	0.0	0.0	14		GUT_GENOME020571	MGYG-HGUT-00651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795	ERS554218	ERP007090	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-006/MGYG-HGUT-00651/genomes1/GUT_GENOME008509.gff.gz
3741	GUT_GENOME003742	BackhedF_2015__SID272_M__bin.7	CIBIO	MAG	2333374	135	27834	43.31	95.89	0.68	0.02	94.12	0.0	0.0	17		GUT_GENOME140786	MGYG-HGUT-02321	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	ERS473154	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-023/MGYG-HGUT-02321/genomes2/GUT_GENOME003742.gff.gz
197745	GUT_GENOME197746	SRR5127743_bin.25	EBI	MAG	2649955	417	8019	43.92	87.53	0.02	0.05	0.0	0.0	10.39	14	ERZ933169	GUT_GENOME000682	MGYG-HGUT-00144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	SRS1876610	SRP095580	Netherlands	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-001/MGYG-HGUT-00144/genomes1/GUT_GENOME197746.gff.gz
174168	GUT_GENOME174169	SRR2673278_bin.24	EBI	MAG	2125840	36	101670	42.23	94.91	0.97	0.01	0.0	0.0	6.02	16	ERZ832193	GUT_GENOME143712	MGYG-HGUT-02492	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	SRS1117397	SRP064913	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02492/genomes7/GUT_GENOME174169.gff.gz
13530	GUT_GENOME013531	BritoIL_2016__W1.41.ST__bin.90	CIBIO	MAG	2403772	196	16734	51.01	93.05	0.94	0.04	0.0	0.0	0.0	15		GUT_GENOME267425	MGYG-HGUT-04329	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__	SRS475666	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-043/MGYG-HGUT-04329/genomes1/GUT_GENOME013531.gff.gz
256454	GUT_GENOME256455	XieH_2016__YSZC12003_37100__bin.81	CIBIO	MAG	1917857	277	9216	59.62	84.72	1.68	0.41	0.0	0.0	0.0	13		GUT_GENOME140268	MGYG-HGUT-02287	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	ERS746862	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-022/MGYG-HGUT-02287/genomes1/GUT_GENOME256455.gff.gz
276447	GUT_GENOME276448	ZeeviD_2015__PNP_Main_594__bin.20	CIBIO	MAG	1010046	376	2787	52.04	51.41	0.11	0.17	0.0	24.01	0.0	10		GUT_GENOME025676	MGYG-HGUT-00723	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-177;s__CAG-177 sp003514385	ERS972232	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-007/MGYG-HGUT-00723/genomes3/GUT_GENOME276448.gff.gz
93828	GUT_GENOME093829	FengQ_2015__SID530348__bin.32	CIBIO	MAG	1999383	78	55375	60.28	90.46	4.98	0.86	0.0	0.0	0.0	20		GUT_GENOME095938	MGYG-HGUT-01292	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	ERS608571	ERP008729	Austria	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-012/MGYG-HGUT-01292/genomes4/GUT_GENOME093829.gff.gz
250589	GUT_GENOME250590	WenC_2017__RA105__bin.12	CIBIO	MAG	1946441	184	14493	59.07	93.18	0.15	0.2	0.0	46.51	0.0	14		GUT_GENOME239684	MGYG-HGUT-03686	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235	SRS1846847	SRP094805	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-036/MGYG-HGUT-03686/genomes2/GUT_GENOME250590.gff.gz
14337	GUT_GENOME014338	BritoIL_2016__W2.44.ST__bin.15	CIBIO	MAG	2051316	731	2853	61.1	58.1	0.76	0.11	0.0	0.0	0.0	17		GUT_GENOME096166	MGYG-HGUT-01359	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	SRS476128	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01359/genomes1/GUT_GENOME014338.gff.gz
201958	GUT_GENOME201959	SRR5558106_bin.17	EBI	MAG	2233329	67	62278	38.85	98.52	1.01	0.14	91.6	22.77	12.89	19	ERZ970474	GUT_GENOME150720	MGYG-HGUT-02570	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	SRS1996016	SRP100518	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02570/genomes2/GUT_GENOME201959.gff.gz
285052	GUT_GENOME285053	ZellerG_2014__CCIS83574003ST-4-0__bin.36	CIBIO	MAG	1787410	25	168851	45.3	96.84	0.63	0.03	0.0	0.0	99.76	20		GUT_GENOME258044	MGYG-HGUT-04158	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	ERS436681	ERP005534	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-041/MGYG-HGUT-04158/genomes3/GUT_GENOME285053.gff.gz
22750	GUT_GENOME022751	CosteaPI_2017__SID713A037-11-90-0__bin.9	CIBIO	MAG	2065406	101	34609	60.17	98.25	0.81	0.08	0.0	0.0	0.0	19		GUT_GENOME064269	MGYG-HGUT-01002	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F	ERS1444492	ERP019502	Kazakhstan	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-010/MGYG-HGUT-01002/genomes1/GUT_GENOME022751.gff.gz
116677	GUT_GENOME116678	LiJ_2014__MH0355__bin.29	CIBIO	MAG	5269042	412	20229	41.27	96.26	2.46	0.22	0.0	0.0	0.0	20		GUT_GENOME143505	MGYG-HGUT-02478	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	ERS396355	ERP004605	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes11/GUT_GENOME116678.gff.gz
42450	GUT_GENOME042451	ERR1297703_bin.11	EBI	MAG	1826821	93	33518	43.82	94.24	0.0	0.02	0.0	0.0	0.0	13	ERZ874361	GUT_GENOME096055	MGYG-HGUT-01334	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B ruminis	ERS1069678	ERP013827	Netherlands	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01334/genomes1/GUT_GENOME042451.gff.gz
149746	GUT_GENOME149747	QinJ_2012__DLM001__bin.24	CIBIO	MAG	2263378	41	109309	59.86	98.92	0.12	0.05	0.0	71.75	0.0	20		GUT_GENOME095938	MGYG-HGUT-01292	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	SRS259511	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-012/MGYG-HGUT-01292/genomes1/GUT_GENOME149747.gff.gz
224237	GUT_GENOME224238	SRS1719524_2	HGM	MAG	3640155	849	5104	41.76	86.74	0.34	0.03	0.0	0.0	7.49	16		GUT_GENOME096067	MGYG-HGUT-01338	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	SRS1719524	SRP090628	Russia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes1/GUT_GENOME224238.gff.gz
195341	GUT_GENOME195342	SRR5106304_bin.6	EBI	MAG	1907546	48	65985	51.51	75.85	0.75	0.02	94.12	36.2	15.32	17	ERZ864836	GUT_GENOME148897	MGYG-HGUT-02556	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795	SRS1858613	SRP095060	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02556/genomes1/GUT_GENOME195342.gff.gz
58595	GUT_GENOME058596	ERR525715_bin.5	EBI	MAG	1324668	274	5228	39.7	73.98	0.12	0.16	0.0	0.0	0.0	3	ERZ899927	GUT_GENOME096096	MGYG-HGUT-01349	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	ERS473050	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01349/genomes2/GUT_GENOME058596.gff.gz
58717	GUT_GENOME058718	ERR525725_bin.37	EBI	MAG	1748647	63	42344	52.88	99.03	1.28	0.0	0.0	0.0	0.0	18	ERZ900067	GUT_GENOME089175	MGYG-HGUT-01168	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__CAG-1427 sp000436075	ERS473060	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-011/MGYG-HGUT-01168/genomes1/GUT_GENOME058718.gff.gz
276369	GUT_GENOME276370	ZeeviD_2015__PNP_Main_58__bin.25	CIBIO	MAG	1881865	447	4849	45.18	66.81	2.46	0.18	0.0	0.0	11.45	8		GUT_GENOME001029	MGYG-HGUT-00190	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515	ERS971696	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-001/MGYG-HGUT-00190/genomes4/GUT_GENOME276370.gff.gz
55523	GUT_GENOME055524	ERR414247_bin.67	EBI	MAG	1927277	111	25947	57.3	86.91	3.58	0.15	89.92	0.0	9.37	16	ERZ895930	GUT_GENOME154896	MGYG-HGUT-02612	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp003539495	ERS396308	ERP004605	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-026/MGYG-HGUT-02612/genomes1/GUT_GENOME055524.gff.gz
259830	GUT_GENOME259831	XieH_2016__YSZC12003_37331__bin.74	CIBIO	MAG	1797563	254	9351	57.29	76.04	0.89	0.81	0.0	0.0	0.0	12		GUT_GENOME257123	MGYG-HGUT-04130	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__	ERS746914	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-041/MGYG-HGUT-04130/genomes1/GUT_GENOME259831.gff.gz
140205	GUT_GENOME140206	OlmMR_2017__S2_005_024G1__bin.8	CIBIO	MAG	4987730	26	521484	60.19	97.47	0.45	0.68	87.39	0.0	0.0	17		GUT_GENOME141425	MGYG-HGUT-02350	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_I	SRS1529677	SRP077514	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-023/MGYG-HGUT-02350/genomes1/GUT_GENOME140206.gff.gz
117987	GUT_GENOME117988	LiJ_2014__MH0395__bin.76	CIBIO	MAG	2757702	150	28392	55.19	99.38	1.86	0.01	0.0	71.69	0.0	19		GUT_GENOME096170	MGYG-HGUT-01361	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_B	ERS396394	ERP004605	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01361/genomes2/GUT_GENOME117988.gff.gz
34657	GUT_GENOME034658	ERR1190810_bin.9	EBI	MAG	1764217	227	9947	58.41	81.4	1.36	1.28	0.0	0.0	0.0	8	ERZ869605	GUT_GENOME124777	MGYG-HGUT-02057	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp001916835	ERS1015885	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-020/MGYG-HGUT-02057/genomes1/GUT_GENOME034658.gff.gz
5123	GUT_GENOME005124	BackhedF_2015__SID504_M__bin.44	CIBIO	MAG	3038224	236	19542	43.55	97.67	0.75	0.01	0.0	21.27	0.0	17		GUT_GENOME000682	MGYG-HGUT-00144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella;s__Barnesiella intestinihominis	ERS473254	ERP005989	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-001/MGYG-HGUT-00144/genomes5/GUT_GENOME005124.gff.gz
172891	GUT_GENOME172892	SRR2047820_bin.5	EBI	MAG	1324086	176	9246	39.92	63.92	1.14	0.49	0.0	0.0	0.0	10	ERZ831785	GUT_GENOME000571	MGYG-HGUT-00113	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	SRS935440	SRP058320	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-001/MGYG-HGUT-00113/genomes1/GUT_GENOME172892.gff.gz
236343	GUT_GENOME236344	SRS476156_19	HGM	MAG	2223421	289	13539	59.65	93.61	4.15	2.52	94.12	0.0	0.0	20		GUT_GENOME086831	MGYG-HGUT-01152	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	SRS476156	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-011/MGYG-HGUT-01152/genomes1/GUT_GENOME236344.gff.gz
